raw_name,canonical_name,confidence_score,resolution_method,source_context,resolved_at
Glen,Glean,0.89,FUZZY_TOKEN_SET,Y Combinator,2026-09-12T07:59:50.872546+00:00
Stoa,Stoa,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.873946+00:00
Marble,Marble,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.875561+00:00
Audun,Audun,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.876877+00:00
Grocalo,Grocalo,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.878712+00:00
COACH,Coach,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.880220+00:00
DeepReach Inc.,DeepReach,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.882266+00:00
Mochi,Mochi,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.883814+00:00
Alloovium,Alloovium,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.885993+00:00
Dialogus,Dialogus,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.889502+00:00
Mosaic,Mosaic,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.892853+00:00
Bizmark,Bizmark,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.895060+00:00
Riften,Riften,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.897907+00:00
Buildbox,Buildbox,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.900850+00:00
RealPact,RealPact,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.903398+00:00
GUILD,Guild,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.905752+00:00
Floracene,Floracene,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.908000+00:00
Rise Reforming,Rise Reforming,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.910598+00:00
Lyon,Lyon,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.911905+00:00
Instaplay,Instaplay,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.913890+00:00
Verdant,Verdant,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.915769+00:00
IMPACT Drones,IMPACT Drones,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.918277+00:00
Insurf,Insurf,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.920730+00:00
Jcode,Jcode,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.923346+00:00
LemonLime,LemonLime,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.927000+00:00
Gutgutgoose,Gutgutgoose,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.930582+00:00
Speko,Speko,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.933216+00:00
Synapse Semiconductor,Synapse Semiconductor,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.939238+00:00
Orchestra,Orchestra,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.942456+00:00
Rote,Rote,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.944057+00:00
Prized,Prized,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.946022+00:00
Studio,Udio,0.8,FUZZY_TOKEN_SET,Y Combinator,2026-09-12T07:59:50.947820+00:00
Bernard,Bernard,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.949841+00:00
Maingen,Maingen,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.952396+00:00
Enact,Enact,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.955305+00:00
Rex,Rex,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.956689+00:00
Zomma,Zomma,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.958234+00:00
Nebula Security,Nebula Security,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.961179+00:00
Kara,Kara,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.962726+00:00
Trope,Trope,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.964299+00:00
Parasma,Parasma,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.966336+00:00
Belvedir,Belvedir,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.968518+00:00
Shielded,Shielded,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.970611+00:00
Olam Labs,Olam,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.972144+00:00
Egoist Machines,Egoist Machines,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.975060+00:00
Mass Magnetics,Mass Magnetics,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.977994+00:00
Perceptron ML,Perceptron ML,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.980998+00:00
Erinys,Erinys,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.985008+00:00
HERA,Hera,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.988679+00:00
Donkey,Donkey,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.990548+00:00
Moonshot,Moonshot,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.992424+00:00
Hoplite,Hoplite,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.994421+00:00
Pango,Pango,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.996057+00:00
tash,Tash,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.997489+00:00
Torus,Torus,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.999109+00:00
Kebra,Kebra,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:51.000915+00:00
GitCafe,GitCafe,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:51.003077+00:00
RightNow,RightNow,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:51.005492+00:00
Edgerun,Edgerun,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:51.007443+00:00
Akkari,Akkari,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:51.009284+00:00
HeyClicky,HeyClicky,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:51.011425+00:00
Rindler,Rindler,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:51.013436+00:00
Proprio Robotics,Proprio Robotics,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:51.016819+00:00
Huscarl,Huscarl,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:51.018900+00:00
Thomas,Thomas,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:51.020953+00:00
Cohesion,Cohesion,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:51.023263+00:00
Maquoketa Research,Maquoketa Research,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:51.026591+00:00
Intelligence Factory,Intelligence Factory,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:51.030139+00:00
Amorphic Labs,Amorphic,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:51.032206+00:00
rekursiv.ai,Rekursiv.Ai,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:51.034272+00:00
Clawvisor,Clawvisor,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:51.036623+00:00
Framewise Health,Framewise Health,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:51.039767+00:00
Arctic Health,Arctic Health,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:51.042362+00:00
Enjamb Labs,Enjamb,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:51.044145+00:00
Hyper,Hyper,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:51.045866+00:00
