schemaVersion,recordType,source.name,job_url,title,content.company,content.date,content.is_remote,content.role_family,location,collectedAt
1.0,JOB,Jobicy,https://jobicy.com/jobs/152946-senior-sales-operations-manager,Senior Sales Operations Manager,Tech,2026-09-09T17:26:02+00:00,True,Engineering,,2026-09-10T15:31:42.589771+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/152945-enterprise-security-sales-specialist,Enterprise Security Sales Specialist,Tech,2026-09-09T17:25:42+00:00,True,Engineering,,2026-09-10T15:31:42.589837+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/152944-business-systems-analyst-3,Business Systems Analyst,Tech,2026-09-09T17:25:19+00:00,True,Engineering,,2026-09-10T15:31:42.589903+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/152943-content-marketing-manager-5,Content Marketing Manager,Tech,2026-09-09T17:24:58+00:00,True,Engineering,,2026-09-10T15:31:42.589969+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/152942-visual-designer-web,"Visual Designer, Web",Tech,2026-09-09T17:24:38+00:00,True,Design,,2026-09-10T15:31:42.590052+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/152941-enterprise-sales-executive-sled,Enterprise Sales Executive (SLED),Tech,2026-09-09T17:24:14+00:00,True,Engineering,,2026-09-10T15:31:42.590126+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/152940-account-executive-industrial-division,Account Executive (Industrial Division),Tech,2026-09-09T17:23:54+00:00,True,AI / Machine Learning,,2026-09-10T15:31:42.590204+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/152939-senior-demand-generation-manager-2,Senior Demand Generation Manager,Tech,2026-09-09T17:23:33+00:00,True,Engineering,,2026-09-10T15:31:42.590270+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/152938-software-engineer-backend,"Software Engineer, Backend",Tech,2026-09-09T17:23:14+00:00,True,Engineering,,2026-09-10T15:31:42.590332+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/152937-enterprise-sales-executive-fed,Enterprise Sales Executive (FED),Tech,2026-09-09T17:22:54+00:00,True,Engineering,,2026-09-10T15:31:42.590398+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/152936-account-executive-edtech-division,Account Executive (EdTech Division),Tech,2026-09-09T17:22:33+00:00,True,AI / Machine Learning,,2026-09-10T15:31:42.590460+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/152935-senior-platform-engineer-3,Senior Platform Engineer,Tech,2026-09-09T17:22:10+00:00,True,Engineering,,2026-09-10T15:31:42.590524+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/152934-account-executive-commerce-compliance-divisions,Account Executive (Commerce & Compliance Divisions),Tech,2026-09-09T17:21:48+00:00,True,AI / Machine Learning,,2026-09-10T15:31:42.590595+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/152933-solution-lead,Solution Lead,Tech,2026-09-09T17:21:27+00:00,True,Engineering,,2026-09-10T15:31:42.590668+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/152932-staff-backend-engineer-net-f-m-d,Staff Backend Engineer (.NET) (f/m/d),Tech,2026-09-09T17:21:05+00:00,True,Engineering,,2026-09-10T15:31:42.590735+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/152931-senior-renewals-manager,Senior Renewals Manager,Tech,2026-09-09T17:20:40+00:00,True,Engineering,,2026-09-10T15:31:42.590800+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/152930-business-development-manager-3,Business Development Manager,Tech,2026-09-09T17:20:17+00:00,True,Product Management,,2026-09-10T15:31:42.590865+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/152929-security-engineer-cloud,"Security Engineer, Cloud",Tech,2026-09-09T17:19:56+00:00,True,Engineering,,2026-09-10T15:31:42.590928+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/152928-senior-product-engineer,Senior Product Engineer,Tech,2026-09-09T17:19:37+00:00,True,Engineering,,2026-09-10T15:31:42.590996+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/152927-commercial-account-executive-acquisition-remote-sweden,"Commercial Account Executive, Acquisition | Remote | Sweden",Tech,2026-09-09T16:39:43+00:00,True,Design,,2026-09-10T15:31:42.591071+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/152926-implementation-specialist-2,Implementation Specialist,Tech,2026-09-09T16:39:24+00:00,True,Engineering,,2026-09-10T15:31:42.591143+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/152925-enterprise-account-executive-goods-services,Enterprise Account Executive – Goods & Services,Tech,2026-09-09T16:39:08+00:00,True,Engineering,,2026-09-10T15:31:42.591215+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/152924-staff-ai-product-analyst,Staff AI Product Analyst,Tech,2026-09-09T16:38:50+00:00,True,AI / Machine Learning,,2026-09-10T15:31:42.591276+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/152923-commercial-account-executive-acquisition-remote-netherlands,"Commercial Account Executive, Acquisition | Remote | Netherlands",Tech,2026-09-09T16:38:32+00:00,True,Design,,2026-09-10T15:31:42.591343+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/152922-sdr-sales-development-representative,SDR (Sales Development Representative),Tech,2026-09-09T16:38:13+00:00,True,Product Management,,2026-09-10T15:31:42.591414+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/152921-enterprise-account-executive-fsi,Enterprise Account Executive – FSI,Tech,2026-09-09T16:37:57+00:00,True,Engineering,,2026-09-10T15:31:42.591487+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/152920-backend-engineer-platform-stacks-uk-remote,Backend Engineer – Platform – Stacks | UK | Remote,Tech,2026-09-09T16:37:38+00:00,True,Engineering,,2026-09-10T15:31:42.591554+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/152919-staff-software-engineer-data,Staff Software Engineer – Data,Tech,2026-09-09T16:37:19+00:00,True,Engineering,,2026-09-10T15:31:42.591624+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/152918-enterprise-account-executive-denmark-2,Enterprise Account Executive – Denmark,Tech,2026-09-09T16:36:58+00:00,True,Engineering,,2026-09-10T15:31:42.591696+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/152914-lead-product-manager-customer-portal,"Lead Product Manager, Customer Portal",Tech,2026-09-09T16:32:33+00:00,True,Product Management,,2026-09-10T15:31:42.591766+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/152913-performance-media-analyst,Performance Media Analyst,Tech,2026-09-09T16:32:14+00:00,True,Engineering,,2026-09-10T15:31:42.591838+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/152912-senior-software-engineer-net-f-m-d,Senior Software Engineer (.NET) (f/m/d),Tech,2026-09-09T16:31:55+00:00,True,Engineering,,2026-09-10T15:31:42.591902+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/152911-senior-strategist-strategy-lead-contract,Senior Strategist / Strategy Lead (contract),Tech,2026-09-09T16:31:35+00:00,True,Engineering,,2026-09-10T15:31:42.591970+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/152910-staff-software-engineer-experimentation-platform,"Staff Software Engineer, Experimentation Platform",Tech,2026-09-09T16:31:15+00:00,True,Engineering,,2026-09-10T15:31:42.592048+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/152908-staff-devops-engineer-2,Staff DevOps Engineer,Tech,2026-09-09T16:30:32+00:00,True,Engineering,,2026-09-10T15:31:42.592114+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/152907-operations-risk-lead,Operations Risk Lead,Tech,2026-09-09T16:30:08+00:00,True,Engineering,,2026-09-10T15:31:42.592180+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/152906-head-of-product-marketing-2,Head of Product Marketing,Tech,2026-09-09T16:29:45+00:00,True,Product Management,,2026-09-10T15:31:42.592254+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/152904-gtm-operations-specialist-f-m-d,GTM Operations Specialist (f/m/d,Tech,2026-09-09T16:29:04+00:00,True,Engineering,,2026-09-10T15:31:42.592321+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/152903-senior-developer,Senior Developer,Tech,2026-09-09T16:28:42+00:00,True,Engineering,,2026-09-10T15:31:42.592384+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/152902-senior-stock-administrator-2,Senior Stock Administrator,Tech,2026-09-09T16:28:22+00:00,True,Engineering,,2026-09-10T15:31:42.592448+00:00
