schemaVersion,recordType,source.name,source.url,product_name,content.startupName,content.pricingModel,category,description,collectedAt
1.0,PRODUCT,Awesome Generative AI Directory,https://animatedllm.github.io/,AnimatedLLM,AnimatedLLM,FREE,Generative AI Application,Interactive visualizations explaining how large language models work. [#opensource](https://github.com/kasnerz/animated-llm),2026-09-12T07:57:10.573060+00:00
1.0,PRODUCT,Awesome Generative AI Directory,https://poloclub.github.io/transformer-explainer/,Transformer Explainer,Transformer Explainer,FREE,Generative AI Application,"Interactive visualization of how transformer-based LLMs work, running a live GPT-2 model in the browser. [#opensource](https://github.com/poloclub/transformer-explainer)",2026-09-12T07:57:10.573086+00:00
1.0,PRODUCT,Awesome Generative AI Directory,https://pharmapsychotic.com/tools.html,Tools and Resources for AI Art,Tools and Resources for AI Art,FREEMIUM,Generative AI Application,"A large list of Google Colab notebooks for generative AI, by [@pharmapsychotic](https://twitter.com/pharmapsychotic).",2026-09-12T07:57:10.573116+00:00
1.0,PRODUCT,Awesome Generative AI Directory,https://twitter.com/sonyatweetybird/status/1584580362339962880,The Generative AI Application Landscape,The Generative AI Application Landscape,FREEMIUM,Generative AI Application,"An infographic that maps the generative AI ecosystem, by [Sonya Huang](https://twitter.com/sonyatweetybird) of Sequoia Capital.",2026-09-12T07:57:10.573144+00:00
1.0,PRODUCT,Awesome Generative AI Directory,https://airtable.com/shr6nfE9FOHp17IjG/tblL3ekHZfkm3p6YT,Startups - @builtwithgenai,Startups,FREEMIUM,Generative AI Application,An Airtable list by [@builtwithgenai](https://twitter.com/builtwithgenai).,2026-09-12T07:57:10.573169+00:00
1.0,PRODUCT,Awesome Generative AI Directory,https://airtable.com/shrH4REIgddv8SzUo/tbl5dsXdD1P859QLO,The Generative AI Index,The Generative AI Index,FREEMIUM,Generative AI Application,An Airtable list by [Scale Venture Partners](https://www.scalevp.com/generative-ai).,2026-09-12T07:57:10.573192+00:00
1.0,PRODUCT,Awesome Generative AI Directory,https://twitter.com/gwertz/status/1593268767269670912,Generative AI for Games,Generative AI for Games,FREEMIUM,Generative AI Application,"A market map of companies working on Generative AI for games, by [a16z](https://a16z.com/).",2026-09-12T07:57:10.573216+00:00
1.0,PRODUCT,Awesome Generative AI Directory,https://github.com/filipecalegario/awesome-generative-ai,Generative Deep Art,Generative Deep Art,FREE,Generative AI Application,"A curated list of generative deep learning tools, works, models, etc. for artistic uses, by [@filipecalegario](https://github.com/filipecalegario/).",2026-09-12T07:57:10.573243+00:00
1.0,PRODUCT,Awesome Generative AI Directory,https://gpt3demo.com/,GPT-3 Demo,GPT-3 Demo,FREEMIUM,Generative AI Application,"Showcase with GPT-3 examples, demos, apps, showcase, and NLP use-cases.",2026-09-12T07:57:10.573269+00:00
1.0,PRODUCT,Awesome Generative AI Directory,https://gpt4demo.com/,GPT-4 Demo,GPT-4 Demo,FREEMIUM,Generative AI Application,GPT-4 apps and use-cases.,2026-09-12T07:57:10.573294+00:00
1.0,PRODUCT,Awesome Generative AI Directory,https://github.com/ai-collection/ai-collection,The Generative AI Landscape,The Generative AI Landscape,FREE,Generative AI Application,A Collection of Awesome Generative AI Applications.,2026-09-12T07:57:10.573316+00:00
1.0,PRODUCT,Awesome Generative AI Directory,https://github.com/AspirinCode/papers-for-molecular-design-using-DL,Molecular design,Molecular design,FREE,Generative AI Application,List of molecular design using Generative AI and Deep Learning.,2026-09-12T07:57:10.573341+00:00
