schemaVersion,recordType,source.name,source.url,content.title,content.published_date,summary,category,collectedAt
1.0,NEWS,TechCrunch AI,https://techcrunch.com/2026/09/10/openai-puts-pro-subscriptions-on-hold-due-to-astra-demand,OpenAI puts Pro subscriptions on hold due to Astra demand,2026-09-10T20:59:51+00:00,OpenAI puts Pro subscriptions on hold due to Astra demand - Verified fresh AI signal from TechCrunch AI,Artificial Intelligence,2026-09-11T19:33:20.649618+00:00
1.0,NEWS,TechCrunch AI,https://techcrunch.com/2026/09/10/anthropic-details-distillation-campaigns-from-alibaba-moonshot-ai-and-deepseek,"Anthropic details distillation campaigns from Alibaba, Moonshot AI, and DeepSeek",2026-09-10T20:57:30+00:00,"Anthropic details distillation campaigns from Alibaba, Moonshot AI, and DeepSeek - Verified fresh AI signal from TechCrunch AI",Artificial Intelligence,2026-09-11T19:33:20.650949+00:00
1.0,NEWS,TechCrunch AI,https://techcrunch.com/2026/09/10/metas-ai-agent-muse-is-now-the-no-2-app-in-the-us,Meta’s AI agent Muse is now the No. 2 app in the US,2026-09-10T19:50:04+00:00,Meta’s AI agent Muse is now the No. 2 app in the US - Verified fresh AI signal from TechCrunch AI,Artificial Intelligence,2026-09-11T19:33:20.652253+00:00
1.0,NEWS,Artificial Intelligence News,https://www.artificialintelligence-news.com/news/palantir-foundry-cuopt-nvidia-supply-chain-allocation,Palantir Foundry and cuOpt drive NVIDIA supply chain allocation,2026-09-11T12:00:18+00:00,Palantir Foundry and cuOpt drive NVIDIA supply chain allocation - Verified fresh AI signal from Artificial Intelligence News,Artificial Intelligence,2026-09-11T19:33:20.653560+00:00
1.0,NEWS,Wired AI,https://www.wired.com/story/meta-sued-over-training-data-for-its-ai-and-face-recognition-systems,Meta Sued Over Training Data for Its AI and Face-Recognition Systems,2026-09-11T18:59:25+00:00,Meta Sued Over Training Data for Its AI and Face-Recognition Systems - Verified fresh AI signal from Wired AI,Artificial Intelligence,2026-09-11T19:33:20.654887+00:00
1.0,NEWS,Wired AI,https://www.wired.com/story/one-of-ais-fiercest-critics-says-all-the-doom-talk-is-meant-to-distract-us,One of AI’s Fiercest Critics Says All the Doom Talk Is ‘Meant to Distract Us’,2026-09-11T15:00:00+00:00,One of AI’s Fiercest Critics Says All the Doom Talk Is ‘Meant to Distract Us’ - Verified fresh AI signal from Wired AI,Artificial Intelligence,2026-09-11T19:33:20.656142+00:00
1.0,NEWS,Wired AI,https://www.wired.com/story/why-so-many-ai-researchers-think-the-machines-could-kill-everyone,Why So Many AI Researchers Think the Machines Could Kill Everyone,2026-09-11T09:00:00+00:00,Why So Many AI Researchers Think the Machines Could Kill Everyone - Verified fresh AI signal from Wired AI,Artificial Intelligence,2026-09-11T19:33:20.657449+00:00
1.0,NEWS,Wired AI,https://www.wired.com/story/openai-wants-to-know-if-an-ai-industry-slowdown-would-even-be-legal,OpenAI Wants to Know if an AI Industry Slowdown Would Even Be Legal,2026-09-10T23:28:42+00:00,OpenAI Wants to Know if an AI Industry Slowdown Would Even Be Legal - Verified fresh AI signal from Wired AI,Artificial Intelligence,2026-09-11T19:33:20.660016+00:00
1.0,NEWS,Wired AI,https://www.wired.com/story/uncanny-valley-podcast-is-ai-actually-going-to-kill-us-all,Is AI Actually Going to Kill Us All?,2026-09-10T20:30:37+00:00,Is AI Actually Going to Kill Us All? - Verified fresh AI signal from Wired AI,Artificial Intelligence,2026-09-11T19:33:20.661912+00:00
1.0,NEWS,Ars Technica,https://arstechnica.com/space/2026/09/nasa-moving-at-warp-speed-to-set-up-us-space-academy,NASA moving at warp speed to set up US Space Academy,2026-09-11T16:20:43+00:00,NASA moving at warp speed to set up US Space Academy - Verified fresh AI signal from Ars Technica,Artificial Intelligence,2026-09-11T19:33:20.663397+00:00
1.0,NEWS,Ars Technica,https://arstechnica.com/ai/2026/09/claude-users-found-ways-around-safeguards-for-bioweapons-research,Claude users found ways around safeguards for bioweapons research,2026-09-11T13:02:35+00:00,Claude users found ways around safeguards for bioweapons research - Verified fresh AI signal from Ars Technica,Artificial Intelligence,2026-09-11T19:33:20.664725+00:00
1.0,NEWS,Ars Technica,https://arstechnica.com/security/2026/09/clickfix-attacks-infecting-pcs-and-macs-are-going-viral,ClickFix attacks infecting PCs and Macs are going viral,2026-09-11T11:30:58+00:00,ClickFix attacks infecting PCs and Macs are going viral - Verified fresh AI signal from Ars Technica,Artificial Intelligence,2026-09-11T19:33:20.666034+00:00
1.0,NEWS,Ars Technica,https://arstechnica.com/science/2026/09/what-happens-when-quantum-mechanics-and-relativity-meet,What happens when quantum mechanics and relativity meet?,2026-09-11T11:20:02+00:00,What happens when quantum mechanics and relativity meet? - Verified fresh AI signal from Ars Technica,Artificial Intelligence,2026-09-11T19:33:20.667371+00:00
1.0,NEWS,Ars Technica,https://arstechnica.com/space/2026/09/could-united-launch-alliances-money-problems-finally-force-its-owners-to-sell,Could United Launch Alliance's money problems finally force its owners to sell?,2026-09-11T11:00:44+00:00,Could United Launch Alliance's money problems finally force its owners to sell? - Verified fresh AI signal from Ars Technica,Artificial Intelligence,2026-09-11T19:33:20.668685+00:00
1.0,NEWS,Ars Technica,https://arstechnica.com/space/2026/09/rocket-report-europe-joins-the-commercial-launch-club-a-ravn-x-sighting,Rocket Report: Europe joins the commercial launch club; a Ravn X sighting?,2026-09-11T11:00:30+00:00,Rocket Report: Europe joins the commercial launch club; a Ravn X sighting? - Verified fresh AI signal from Ars Technica,Artificial Intelligence,2026-09-11T19:33:20.669915+00:00
1.0,NEWS,Ars Technica,https://arstechnica.com/health/2026/09/boy-developed-toasted-skin-condition-from-using-a-laptop-every-day,"Boy developed ""toasted skin"" condition from using a laptop every day",2026-09-10T22:16:05+00:00,"Boy developed ""toasted skin"" condition from using a laptop every day - Verified fresh AI signal from Ars Technica",Artificial Intelligence,2026-09-11T19:33:20.671239+00:00
1.0,NEWS,Ars Technica,https://arstechnica.com/tech-policy/2026/09/linkedin-beats-browsergate-lawsuits-over-scanning-users-chrome-extensions,"LinkedIn beats ""BrowserGate"" lawsuits over scanning users' Chrome extensions",2026-09-10T20:55:29+00:00,"LinkedIn beats ""BrowserGate"" lawsuits over scanning users' Chrome extensions - Verified fresh AI signal from Ars Technica",Artificial Intelligence,2026-09-11T19:33:20.672544+00:00
1.0,NEWS,Test News,https://news.com/item1,Title 1,2026-09-11T17:44:28.600262+00:00,Content,Artificial Intelligence,2026-09-11T19:44:30.139907+00:00
1.0,NEWS,Mock News AI,https://mocknews.ai/fresh-article,Fresh AI Breakthrough,2026-09-11T16:51:30.088373+00:00,Full text body content for article at https://mocknews.ai/fresh-article. AI breakthroughs continue.,Artificial Intelligence,2026-09-11T19:51:32.043184+00:00
1.0,NEWS,Mock News AI,https://mocknews.ai/no-date-article,Mysterious Dateless Announcement,2026-09-11T19:51:35.673638+00:00,Full text body content for article at https://mocknews.ai/no-date-article. AI breakthroughs continue.,Artificial Intelligence,2026-09-11T19:51:35.675619+00:00
